Final_Rank,Subject,Mean_RMS_Slope,Mean_MDF_Slope,RMS_Positive_%,MDF_Negative_%,Direction_Score,Combined_Fatigue_Magnitude,Fatigue_Score,RMS_Direction,MDF_Direction
1,2,0.2446490757675939,-0.1388998367942218,100.0,100.0,1.0,0.3835489125618157,0.3835489125618157,Expected ↑,Expected ↓
2,10,0.1833317845383052,-0.0367330196541426,100.0,87.5,0.9375,0.2465840069148591,0.2311725064826804,Expected ↑,Expected ↓
3,5,0.1039045609879379,-0.11914065212862,100.0,100.0,1.0,0.2230452131165579,0.2230452131165579,Expected ↑,Expected ↓
4,7,0.1606119520844311,-0.0487386276824779,100.0,75.0,0.875,0.2379975344165375,0.2082478426144703,Expected ↑,Expected ↓
5,4,0.1245649317363801,-0.0613362907146329,100.0,75.0,0.875,0.1973933399591733,0.1727191724642767,Expected ↑,Expected ↓
6,9,0.1255417461548966,-0.0343678380443086,87.5,87.5,0.875,0.1626074193245439,0.1422814919089759,Expected ↑,Expected ↓
7,15,0.1029876911631725,-0.039223209945135,100.0,100.0,1.0,0.1422109011083076,0.1422109011083076,Expected ↑,Expected ↓
8,8,0.0787665238510317,-0.0652567018542954,87.5,87.5,0.875,0.1589477885023401,0.1390793149395476,Expected ↑,Expected ↓
9,6,0.0558373831226842,-0.0585275019098548,75.0,87.5,0.8125,0.1708218580623666,0.1387927596756729,Expected ↑,Expected ↓
10,1,0.0301062409356959,-0.0689023543301618,87.5,87.5,0.875,0.148880240566429,0.1302702104956253,Expected ↑,Expected ↓
11,11,0.092666001187263,-0.0404572366136537,100.0,75.0,0.875,0.1422896729700257,0.1245034638487725,Expected ↑,Expected ↓
12,3,0.0712660376224934,-0.0547307972775887,100.0,75.0,0.875,0.1301143083357374,0.1138500197937702,Expected ↑,Expected ↓
13,13,0.0722448659204307,-0.0344429300645878,75.0,75.0,0.75,0.1425356237804584,0.1069017178353438,Expected ↑,Expected ↓
14,14,0.0220792732937262,-0.0859647371345232,50.0,87.5,0.6875,0.1362422678501798,0.0936665591469986,Expected ↑,Expected ↓
15,12,0.0843521956960882,-0.0224789915966386,87.5,62.5,0.75,0.1208378332554005,0.0906283749415504,Expected ↑,Expected ↓
