Subject,Filename,Mean_RMS_Slope,Mean_MDF_Slope,RMS_Positive_%,MDF_Negative_%,Direction_Score,Combined_Fatigue_Magnitude,Fatigue_Score,Final_Rank
2,sub10.txt,0.24464907576759393,-0.1388998367942218,100.0,100.0,1.0,0.3835489125618157,0.3835489125618157,1
10,sub4.txt,0.18333178453830523,-0.03673301965414264,100.0,87.5,0.9375,0.24658400691485916,0.23117250648268045,2
5,sub13.txt,0.1039045609879379,-0.11914065212862003,100.0,100.0,1.0,0.22304521311655795,0.22304521311655795,3
7,sub15.txt,0.16061195208443113,-0.048738627682477956,100.0,75.0,0.875,0.2379975344165375,0.20824784261447032,4
4,sub12.txt,0.12456493173638014,-0.06133629071463296,100.0,75.0,0.875,0.19739333995917338,0.1727191724642767,5
9,sub3.txt,0.12554174615489666,-0.03436783804430864,87.5,87.5,0.875,0.1626074193245439,0.1422814919089759,6
15,sub9.txt,0.10298769116317258,-0.039223209945135076,100.0,100.0,1.0,0.14221090110830764,0.14221090110830764,7
8,sub2.txt,0.07876652385103171,-0.06525670185429544,87.5,87.5,0.875,0.15894778850234015,0.13907931493954762,8
6,sub14.txt,0.05583738312268425,-0.05852750190985485,75.0,87.5,0.8125,0.17082185806236666,0.13879275967567292,9
1,sub1.txt,0.030106240935695985,-0.06890235433016181,87.5,87.5,0.875,0.148880240566429,0.13027021049562537,10
11,sub5.txt,0.09266600118726308,-0.040457236613653726,100.0,75.0,0.875,0.14228967297002576,0.12450346384877253,11
3,sub11.txt,0.07126603762249344,-0.054730797277588714,100.0,75.0,0.875,0.1301143083357374,0.11385001979377021,12
13,sub7.txt,0.07224486592043075,-0.03444293006458782,75.0,75.0,0.75,0.14253562378045842,0.10690171783534382,13
14,sub8.txt,0.022079273293726238,-0.08596473713452323,50.0,87.5,0.6875,0.13624226785017982,0.09366655914699862,14
12,sub6.txt,0.0843521956960882,-0.022478991596638652,87.5,62.5,0.75,0.12083783325540054,0.0906283749415504,15
